english,odia
Good,ଭଲ
Bad,ଖରାପ
Big,ବଡ
Small,ଛୋଟ
Hot,ଗରମ
Cold,ଥଣ୍ଡା
Happy,ଖୁସି
Sad,ଦୁଃଖୀ
Fast,ଦ୍ରୁତ
Slow,ଧୀର
New,ନୂଆ
Old,ପୁରୁଣା
Easy,ସହଜ
Difficult,କଠିନ
Clean,ସଫା
Dirty,ମେଳା
Tall,ଉଚ୍ଚ
Short,ଠିଗା
Heavy,ଭାରୀ
Light,ହାଲୁକା
Strong,ଶକ୍ତିଶାଳୀ
Weak,ଦୁର୍ବଳ
Beautiful,ସୁନ୍ଦର
Ugly,କୁରୂପ
Rich,ଧନୀ
Poor,ଗରିବ
Early,ଶୀଘ୍ର
Late,ଦେରୀ
Full,ପୁରା
Empty,ଖାଲି
Open,ଖୋଲା
Closed,ବନ୍ଦ
Hard,କଠିନ
Soft,ନରମ
Sweet,ମିଠା
Sour,ଖଟା
Bitter,କଟୁ
Salty,ଲୁଣିଆ
Loud,ଉଚ୍ଚଶବ୍ଦ
Quiet,ଶାନ୍ତ
Brave,ସାହସୀ
Coward,ସାହସହୀନ
Honest,ସତ୍ୟବାଦୀ
Clever,ଚତୁର
Lazy,ଆଳସୀ
Active,ସକ୍ରିୟ
Safe,ସୁରକ୍ଷିତ
Dangerous,ବିପଜ୍ଜନକ
Useful,ଉପଯୋଗୀ
Useless,ଅନୁପଯୋଗୀ
