english,odia
Thank you,ଧନ୍ୟବାଦ
Sorry,ମାଫ କରିବେ
Please,ଦୟାକରି
Excuse me,କ୍ଷମା କରନ୍ତୁ
You're welcome,ଆପଣଙ୍କୁ ସ୍ୱାଗତ
Good morning,ସୁପ୍ରଭାତ
Good afternoon,ଶୁଭ ଦିନ
Good evening,ଶୁଭ ସନ୍ଧ୍ୟା
Good night,ଶୁଭ ରାତି
How are you?,କେମିତି ଅଛନ୍ତି?
I am fine,ମୁଁ ଭଲ ଅଛି
Congratulations,ବଧାଇ
Best wishes,ଶୁଭେଚ୍ଛା
Happy Birthday,ଜନ୍ମଦିନର ଶୁଭେଚ୍ଛା
Happy New Year,ନୂତନ ବର୍ଷର ଶୁଭେଚ୍ଛା
Welcome,ସ୍ୱାଗତ
Excuse me (to get attention),ମୋତେ ଦୟାକରି ଶୁଣନ୍ତୁ
Pardon me,କ୍ଷମା କରନ୍ତୁ
I am sorry for that,ମୁଁ ଏହା ପାଇଁ ଦୁଃଖିତ
No problem,କିଛି ସମସ୍ୟା ନାହିଁ
Can you help me?,ଆପଣ ମୋତେ ସାହାଯ୍ୟ କରିପାରିବେ କି?
I don’t understand,ମୁଁ ବୁଝିପାରିନାହିଁ
Please sit,ଦୟାକରି ବସନ୍ତୁ
Have a nice day,ଦିନଟି ଭଲ କଟାନ୍ତୁ
Take care,ସାବଧାନ ରୁହନ୍ତୁ
