english,odia
I am happy,ମୁଁ ଖୁସି ଅଛି
She is my friend,ସେ ମୋର ମିତ୍ରୀ
He is reading a book,ସେ ଏକ ବହି ପଢ଼ୁଛି
I like apples,ମୁଁ ଆପେଲ ପସନ୍ଦ କରେ
We are going to school,ଆମେ ବିଦ୍ୟାଳୟକୁ ଯାଉଛୁ
They are playing football,ସେମାନେ ଫୁଟବଲ୍ ଖେଳୁଛନ୍ତି
It is raining,ବର୍ଷା ପଡ଼ୁଛି
Open the door,ଦ୍ୱାର ଖୋଲନ୍ତୁ
Close the window,ଝରୋକା ବନ୍ଦ କରନ୍ତୁ
I can swim,ମୁଁ ତରଣ କରିପାରେ
The sun is shining,ସୂର୍ଯ୍ୟ ଚମକୁଛି
She is singing,ସେ ଗାଉଛି
I love my family,ମୁଁ ମୋ ପରିବାରକୁ ଭଲ ପାଏ
The cat is sleeping,ବିଲେଇ ଘୁମୁଛି
He is running fast,ସେ ଦ୍ରୁତ ଦୌଡ଼ୁଛି
I am thirsty,ମୋତେ ପିଆସ ଲାଗିଛି
Please help me,ଦୟାକରି ମୋତେ ସାହାଯ୍ୟ କରନ୍ତୁ
Thank you very much,ଅତ୍ୟଧିକ ଧନ୍ୟବାଦ
I am learning Odia,ମୁଁ ଓଡ଼ିଆ ଶିଖୁଛି
We are friends,ଆମେ ମିତ୍ର
The dog is barking,କୁକୁର ଭୋକୁଛି
I am tired,ମୁଁ କ୍ଲାନ୍ତ
She is cooking,ସେ ରାନ୍ଧୁଛି
He is writing a letter,ସେ ଏକ ଚିଠି ଲେଖୁଛି
I like to play,ମୁଁ ଖେଳିବା ପସନ୍ଦ କରେ
Look at the sky,ଆକାଶକୁ ଦେଖନ୍ତୁ
