english,odia
What is your name?,ଆପଣଙ୍କର ନାମ କ’ଣ?
How are you?,ଆପଣ କେମିତି ଅଛନ୍ତି?
Where are you going?,ଆପଣ କେଉଁଠାକୁ ଯାଉଛନ୍ତି?
What time is it?,ସମୟ କେତେ?
Can you help me?,ଆପଣ ମୋତେ ସାହାଯ୍ୟ କରିପାରିବେ କି?
Do you like this?,ଆପଣଙ୍କୁ ଏହା ପସନ୍ଦ କି?
Where do you live?,ଆପଣ କେଉଁଠାରେ ବସୁଛନ୍ତି?
What are you doing?,ଆପଣ କ’ଣ କରୁଛନ୍ତି?
Is it raining?,ବର୍ଷା ପଡ଼ୁଛି କି?
Have you eaten?,ଆପଣ ଖାଇସାରିଛନ୍ତି କି?
Can I come in?,ମୁଁ ଭିତରକୁ ପାରିବି କି?
Are you ready?,ଆପଣ ପ୍ରସ୍ତୁତ କି?
What is this?,ଏହା କ’ଣ?
Who is there?,ସେ କିଏ ଅଛି?
When will you come?,ଆପଣ କେବେ ଆସିବେ?
Why are you late?,ଆପଣ ଦେରୀ କାହିଁକି?
Do you understand?,ଆପଣ ବୁଝିପାରୁଛନ୍ତି କି?
Where is the bathroom?,ଶୌଚାଳୟ କେଉଁଠି?
Can I help you?,ମୁଁ ଆପଣଙ୍କୁ ସାହାଯ୍ୟ କରିପାରିବି କି?
What do you want?,ଆପଣ କ’ଣ ଚାହାଁଛନ୍ତି?
Is it far?,ଏହା ଦୂର କି?
How much is this?,ଏହାର ମୂଲ୍ୟ କେତେ?
Which one do you like?,ଆପଣ କେଉଁଟି ପସନ୍ଦ କରନ୍ତି?
Do you speak Odia?,ଆପଣ ଓଡ଼ିଆ କହିପାରନ୍ତି କି?
Can I sit here?,ମୁଁ ଏଠାରେ ବସିପାରିବି କି?
